,id,original_language,title,popularity,release_date,vote_average,vote_count
5258,559907,en,The Green Knight,4.053,2021-07-29,6.601,1953
5259,20714,ru,12,3.532,2007-06-06,6.6,391
5260,11515,en,Goya's Ghosts,3.532,2006-11-08,6.6,489
5261,9532,en,Final Destination,4.441,2000-03-17,6.601,5746
5262,448119,en,Dolittle,4.079,2020-01-02,6.597,3673
5263,433422,ja,Fairy Tail: Dragon Cry,3.787,2017-05-06,6.599,408
5264,10398,en,Double Jeopardy,3.531,1999-09-24,6.6,1351
5265,39781,en,The Kids Are All Right,3.534,2010-07-09,6.6,1499
5266,864168,en,Joy Ride,3.566,2023-06-22,6.6,387
5267,848058,es,Piggy,3.555,2022-10-07,6.6,613
5268,468362,en,The Angel,3.538,2018-05-15,6.6,305
5269,345009,en,Mine,3.785,2016-10-06,6.598,1300
5270,17898,en,Silver Bullet,3.53,1985-10-10,6.6,614
5271,5680,en,Elvira: Mistress of the Dark,3.53,1988-09-30,6.598,533
5272,4105,en,Black Rain,4.031,1989-09-22,6.593,1111
5273,3635,en,Girl with a Pearl Earring,3.781,2003-12-12,6.601,1388
5274,480857,en,Radioactive,3.541,2020-03-11,6.6,845
5275,454527,fr,Benedetta,3.585,2021-07-09,6.596,1031
5276,454467,en,Noelle,3.578,2019-11-12,6.597,678
5277,300673,en,The Finest Hours,3.537,2016-01-27,6.6,1618
5278,136795,en,The Heat,3.571,2013-06-27,6.597,3968
5279,27958,en,Cruising,3.567,1980-02-15,6.6,549
5280,11064,en,Brewster's Millions,3.569,1985-05-22,6.6,606
5281,10409,en,Strictly Ballroom,3.53,1992-08-20,6.597,349
5282,8066,en,Stay,3.782,2005-09-24,6.6,1346
5283,25319,en,The Masque of the Red Death,3.531,1964-06-24,6.6,329
5284,8005,en,Robin Hood: Men in Tights,4.074,1993-07-28,6.596,2102
5285,10184,en,He's Just Not That Into You,3.581,2009-02-06,6.595,3777
5286,215,en,Saw II,3.82,2005-10-28,6.6,5457
5287,68817,en,Footloose,3.571,2011-10-06,6.594,1654
5288,13090,en,Sunshine Cleaning,3.532,2008-01-18,6.6,771
5289,5780,en,Torn Curtain,3.531,1966-07-15,6.6,583
5290,5595,es,Fermat's Room,3.532,2007-10-07,6.6,406
5291,423204,en,Angel Has Fallen,3.541,2019-08-21,6.6,3555
5292,396422,en,Annabelle: Creation,3.582,2017-08-03,6.593,5649
5293,382322,en,Batman: The Killing Joke,3.786,2016-07-24,6.593,1832
5294,250124,en,The Diary of a Teenage Girl,3.534,2015-08-07,6.6,739
5295,83899,en,You're Next,3.534,2013-08-22,6.6,2497
5296,20178,en,World's Greatest Dad,3.532,2009-08-20,6.6,606
5297,11635,en,Old School,4.297,2003-02-21,6.589,1892
5298,9463,ja,Vampire Hunter D,3.53,1985-12-21,6.593,480
5299,9352,en,EuroTrip,4.287,2004-02-20,6.593,2639
5300,8649,en,Bringing Out the Dead,3.531,1999-10-22,6.6,1096
5301,2123,en,"Me, Myself & Irene",4.319,2000-06-22,6.593,3929
5302,644495,en,House of Gucci,3.715,2021-11-24,6.6,3170
5303,51917,it,A Whole Life Ahead,3.537,2008-03-28,6.592,309
5304,50456,en,Hanna,3.783,2011-04-07,6.592,3416
5305,31007,en,Welcome to the Rileys,3.532,2010-10-29,6.6,402
5306,5486,it,A Bay of Blood,3.53,1971-09-08,6.6,381
5307,512,en,Scoop,3.781,2006-07-27,6.6,1639
5308,1172674,en,The Rat Catcher,3.822,2023-09-28,6.595,400
5309,1100782,en,Smile 2,7.203,2024-10-16,6.6,1352
5310,622855,en,Jingle Jangle: A Christmas Journey,3.543,2020-11-06,6.6,526
5311,428495,en,The Nile Hilton Incident,3.537,2017-06-19,6.6,353
5312,412656,en,Chaos Walking,4.057,2021-02-24,6.591,2334
5313,10264,en,Hamlet,3.53,1990-12-19,6.591,407
5314,8874,en,My Best Friend's Wedding,2.768,1997-06-19,6.591,2693
5315,944,en,Lethal Weapon 4,4.825,1998-07-10,6.59,2691
5316,575776,en,Saint Maud,3.545,2020-10-09,6.59,746
5317,438674,en,Dragged Across Concrete,3.541,2019-02-21,6.59,1008
5318,38410,en,The Poughkeepsie Tapes,3.533,2007-04-27,6.6,643
5319,9944,en,The Pelican Brief,3.541,1993-09-17,6.6,1620
5320,8643,en,The Exorcism of Emily Rose,3.572,2005-09-09,6.59,2818
5321,92591,en,Bernie,3.533,2012-04-27,6.589,939
5322,12637,en,"New York, New York",3.568,1977-06-21,6.589,464
5323,6972,en,Australia,3.582,2008-11-18,6.589,2311
5324,924482,en,The Ledge,3.55,2022-02-18,6.588,360
5325,653744,en,Sergio,3.54,2020-01-28,6.588,335
5326,462883,en,Woody Woodpecker,3.537,2017-10-05,6.6,720
5327,18126,en,Hannah Montana: The Movie,3.82,2009-04-10,6.587,2019
5328,10484,fr,The ComDads,4.073,1983-11-23,6.588,402
5329,2779,en,The Curse of the Jade Scorpion,3.531,2001-08-05,6.588,778
5330,579047,en,Reminiscence,3.546,2021-08-18,6.6,1800
5331,487476,fr,Nothing to Hide,3.832,2018-10-17,6.587,1358
5332,332340,en,Man Up,3.784,2015-05-29,6.586,984
